data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2016-12-29,AALR3,14.45,11.3826,0.0589,0.08785339026233022,731381619.0,2016,12
2017-01-31,AALR3,13.75,11.09781,0.0589,0.09010786812893715,700428950.0,2017,1
2017-02-24,AALR3,12.56,10.50525,0.0589,0.09519049998810118,636027428.0,2017,2
2017-03-31,AALR3,15.41,19.96784,0.05517,0.05008052949142221,1700501752.0,2017,3
2017-04-28,AALR3,18.32,24.2846,0.05517,0.04117835994827998,2134819091.0,2017,4
2017-05-31,AALR3,17.49,24.28953,0.05656,0.041170002054383106,2068177806.0,2017,5
2017-06-30,AALR3,17.3,23.63056,0.05656,0.04231808302469345,2000387533.0,2017,6
2017-07-31,AALR3,16.81,23.06095,0.05656,0.04336334799737218,1941789162.0,2017,7
2017-08-31,AALR3,16.17,21.69506,0.06155,0.046093442470313516,1951831464.0,2017,8
2017-09-29,AALR3,16.8,22.27293,0.06155,0.04489755052433605,2015709585.0,2017,9
2017-10-31,AALR3,16.12,21.54524,0.06155,0.04641396429095243,1935270470.0,2017,10
2017-11-30,AALR3,14.89,19.69181,0.06408,0.05078253344918522,1833538648.0,2017,11
2017-12-28,AALR3,14.6,18.98185,0.06408,0.05268190402937543,1750733677.0,2017,12
2018-01-31,AALR3,14.73,19.16441,0.06408,0.052180056677977565,1772026384.0,2018,1
2018-02-28,AALR3,15.25,19.69181,0.06408,0.05078253344918522,1833538648.0,2018,2
2018-03-29,AALR3,15.88,34.29432,0.04969,0.029159347670401396,1904514338.0,2018,3
2018-04-30,AALR3,14.31,31.77162,0.04969,0.031474630503575206,1727075114.0,2018,4
2018-05-30,AALR3,13.12,27.58083,0.05303,0.03625706695556298,1573294453.0,2018,5
2018-06-29,AALR3,12.9,27.24481,0.05303,0.036704238348514814,1547270033.0,2018,6
2018-07-31,AALR3,13.01,27.16844,0.05303,0.03680741330749944,1541355392.0,2018,7
2018-08-31,AALR3,12.5,27.28313,0.05325,0.03665268611042795,1484574841.0,2018,8
2018-09-28,AALR3,11.52,25.90019,0.05325,0.03860975537245094,1381660091.0,2018,9
2018-10-31,AALR3,11.81,26.2499,0.05325,0.038095383220507505,1407684510.0,2018,10
